


央卫咪咕,#genre#
吉林卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=f59b601d6f470479c6a016339652c7
青海卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=d23a8f8353c73275e1b80ba5ebf6e7
东南卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=6c7aac93197d1a7ea16b4aae161990
海南卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=d1ce2eddb63531b7839bf921303c6b
海峡卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=8c11141b28a6b6641c5c72a3e5c541
农林卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=f5ce2815f688f3c7978f20a892fdf8
兵团卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=00040d1983843f77bf358534779269
上视东方影视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=ce1a91988fe6981db5e877f38527d0
上海新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=8eea2cec0a998dc67f4e811c8c99f6
上海第一财经,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=199e9db409f3094d500c4acf773e2b
江苏城市,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=b77f4f0d68fbbf34142d566db59499
江苏综艺,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=bb377edd16a5a5b17347eb4f549c9c
江苏影视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=70beec73a1389474c9ebeec53e66eb
江苏公共新闻,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=3157f97c9570a3ff0727fade3aacd7
江苏国际,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=82ac87dbd1b008db84fc21f4da2d0a
江苏教育,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=56a49150d042c9f4b88b4a7b8e98e9
江苏体育休闲,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=62fc9045cd5f2c962463c573261cb2
优漫卡通,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=b61e5f14dda557b029719548ef383d
南京新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=0bfebf121fbea302480d1d28888c6f
南京教科,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=d651618e373576cca524b768b03324
南京十八,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=e9036552e77116e941f429175790d9
淮安新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=3205545feff2fbfb4bafc9de2f8020
连云港新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=db452265c3ff015caf73a643371814
苏州新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=248ca81b3df49f5f2681c1e5a08c59
泰州新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=fd4099a58444394657870a4105dc26
宿迁新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=edcd0399c593a2519a18a6c3a9c09b
徐州新闻综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=98a9d16b8df2a95086050aee752aca
广东影视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=8d2ecd8a17d9b1cd9986f8fc8bca2b
嘉佳卡通,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=1e8023ba39630baf2b6e4e4f3caf09
盐城新闻,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=b706a9561eaf625239c5eaca591b8c
南通新闻,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=56f7f45d176571cacbbde215a787e5
宜兴新闻,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=c3b8e2afc8123ff71ee7cd470994bb
溧水新闻,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=413022398fcd90c53bd554086d0c2b
陕西秦腔频道,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=b78be999d3604db1504c2d06d208ae
陕西新闻资讯频道,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=fae2fe0217b773340ef58ecc70dd56
财富天下,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=813268fcf762744c4e9a2800002213
高能悬疑,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=a83caca305e0bcc3ab02ca631256af
抗战经典影片,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=42a6f70e6dcbe10eb4dc6948ad12a6
CHC影迷电影,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=3762e4c0924c3bb0c530c1ab0cde50
CHC动作电影,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=8a17ebcb93d15707c86a63fe1fcbcc
CHC家庭影院,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=8fca6db41d7485b277ab5d342052b5
xm1,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=be779cb72f59baced656d6d7c6914b
xm2,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=61209312d031c27984384b21a77776
xm3,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=bf1ab786706e27da2cd94cd2df8920
xm4,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=e1b6a4e1986b9e2f6dd8bded253c7f
xm5,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=8269fbf1b4561a0a49d413fbd59871
xm6,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=5bd034901c1a3a76af01c8f3466b6b
xm7,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=e458e6ec6be474edae784f2cbbbdab
xm8,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=0d6684e51496e8c8dd83434da47e92
xm9,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=5775dd123b317e3b5aa650a9a9edcb
xm10,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=414fb575043df8a65c264d1956fe7a

央卫频道,#genre#

CCTV1,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv1  
CCTV2,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv2  
CCTV4,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv4  
CCTV5,http://140.210.9.53:8800/SuanFaZhibo/live/cctvapi.php?id=CCTV54d61bd11c9a343b782b3381a3c3f6540H
CCTV5+,http://140.210.9.53:8800/SuanFaZhibo/live/cctvapi.php?id=CCTV54d61bd11c9a343b782b3381a3c3f6540H
CCTV6,http://140.210.9.53:8800/SuanFaZhibo/live/cctv6.php?t=1&id=LIVEEAD6BWVAZZIAM:261
CCTV7,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv7  
CCTV9,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv9  
CCTV10,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv10   
CCTV12,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv12  
CCTV13,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv13  
CCTV14,http://140.210.9.53:8800/SuanFaZhibo/live/cctvapi.php?id=CCTV14590796cc29774ad2a85b97206cc79fe8H
CCTV17,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv17
CCTV4k,http://140.210.9.53:8800/SuanFaZhibo/live/cctv.php?id=cctv4k
北京卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=b2e730bcb7e8468ea028135c602a561d
天津卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=f34309e518fb41579c46cbef4d56c51d
河北卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=39f6908c16d74aeab67c78eeb37e17dd
山西卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=39c3c7226f754f3e9cbebd8b5f0996ee
辽宁卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=196d1fb7186845c8ab06945beb60f428
内蒙古卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=74dd173b302c4aa9abf142e4034e0c87
吉林卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=0bb934949fe549e9be4ea3ff519eaec4
黑龙江卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=c77741c71cbb4f61bc9876826e267b51
东方卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=b03d633a64f14712b1b78ad5336fac2c
江苏卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=f485de429c064333b7cce20c6bbbc905
浙江卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=0b0936946bd7416fa80aaeb4072f369a
安徽卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=633fd677b4ce40ad85b127db4307921a
东南卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=74cd6a0403ff4ce7829f04d4cdf4c0a5
江西卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=0621912339cf40109a945afafc3069e2
山东卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=15d651d2389d46ba86eda710fcc1f68b
河南卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=47ebcda850e74c83897dd90ca72db658
湖北卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=894c6f103e094ab58f51cf0f96870a3d
广东卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=6766ec7717d64744bdbfd1c2068ebae6
广西卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=d45e1b2dbae6465a9b2e7a14f7749119
海南卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=54e5f81a605e428188bf7ff21c0df64c
四川卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=90edcdb6a18446d594228039a519b779
贵州卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=d6fc64f8f5e34444ba703bb79fda5da8
云南卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=f79e9c261fda4c3ba35d075a51814bbd
西藏卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=c52bd0a9ac294559841fa39d28d2c195
陕西卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=63fbcee70e0140c991541b5412c9552d
甘肃卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=dc13ed51077a4200a8a41e5e02457fdb
青海卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=49718a9c8d364f6b8c6e666739e90780
宁夏卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=782bc32aad614b6c9c078fd7bea95488
新疆卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=95b30ad2b3c14b32ac7f915769d080bb
兵团卫视,http://140.210.9.53:8800/SuanFaZhibo/live/ws.php?id=16bcdb12d690488286ffec580c9ca249
环球经典(1905国外),http://140.210.9.53:8800/SuanFaZhibo/live/cctv6.php?t=1&id=LIVE8J4LTCXPI7QJ5:261
流金岁月(1905国内),http://140.210.9.53:8800/SuanFaZhibo/live/cctv6.php?t=1&id=LIVENCOI8M4RGOOJ9:261


卫视频道,#genre#

北京卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=b2e730bcb7e8468ea028135c602a561d
天津卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=f34309e518fb41579c46cbef4d56c51d
河北卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=39f6908c16d74aeab67c78eeb37e17dd
山西卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=39c3c7226f754f3e9cbebd8b5f0996ee
辽宁卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=196d1fb7186845c8ab06945beb60f428
内蒙古卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=74dd173b302c4aa9abf142e4034e0c87
吉林卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=0bb934949fe549e9be4ea3ff519eaec4
黑龙江卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=c77741c71cbb4f61bc9876826e267b51
东方卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=b03d633a64f14712b1b78ad5336fac2c
江苏卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=f485de429c064333b7cce20c6bbbc905
浙江卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=0b0936946bd7416fa80aaeb4072f369a
安徽卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=633fd677b4ce40ad85b127db4307921a
东南卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=74cd6a0403ff4ce7829f04d4cdf4c0a5
江西卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=0621912339cf40109a945afafc3069e2
山东卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=15d651d2389d46ba86eda710fcc1f68b
河南卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=47ebcda850e74c83897dd90ca72db658
湖北卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=894c6f103e094ab58f51cf0f96870a3d
广东卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=6766ec7717d64744bdbfd1c2068ebae6
广西卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=d45e1b2dbae6465a9b2e7a14f7749119
海南卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=54e5f81a605e428188bf7ff21c0df64c
四川卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=90edcdb6a18446d594228039a519b779
贵州卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=d6fc64f8f5e34444ba703bb79fda5da8
云南卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=f79e9c261fda4c3ba35d075a51814bbd
西藏卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=c52bd0a9ac294559841fa39d28d2c195
陕西卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=63fbcee70e0140c991541b5412c9552d
甘肃卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=dc13ed51077a4200a8a41e5e02457fdb
青海卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=49718a9c8d364f6b8c6e666739e90780
宁夏卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=782bc32aad614b6c9c078fd7bea95488
新疆卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=95b30ad2b3c14b32ac7f915769d080bb
兵团卫视,http://140.210.9.53:8800/SuanFaZhibo/live1/xxqg.php?id=16bcdb12d690488286ffec580c9ca249
广东珠江,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj

四川频道,#genre#
四川｜科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
四川｜乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd
四川｜利州,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8#http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicd
四川｜巴中综合,http://ocj2.kksmg.com/ocj1/ocj1.m3u8
四川｜康定,http://kdfile.ganzitv.com/nmip-media/channellive/channel100663/playlist.m3u8#http://m3u8-kd.channel.ganzitv.com/nmip-media-yajiang/channellive/channel100663/playlist.m3u8?zsicd#http://m3u8-kd.channel.ganzitv.com/nmip-media-yajiang/channellive/channel100663/playlist.m3u8?#http://m3u8-kd.channel.ganzitv.com/nmip-media-yajiang/channellive/channel100663/playlist.m3u8
四川｜松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8?zsicd#http://live.spccmc.com:90/live/spxwzh.m3u8
四川｜汶川新闻综合,http://live.iwcmt.cn:90/live/zhxw.m3u8#http://live.iwcmt.cn:90/live/zhxw.m3u8?zsicd
四川｜泸县新闻综合,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8?zsicd
四川｜泸州公共,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8
四川｜泸州新闻,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
四川｜泸州科教,http://file.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8#http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
四川｜营山电视台,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8
四川｜长宁综合,http://cnpull.sccnfb.com/live/123456.m3u8?zsicd
四川｜青神综合,http://lmt.scqstv.com/live1/live1.m3u8?zsicd
四川｜黑水新闻综合,http://live.schstv.com:90/live/xwzh.m3u8




河北频道,#genre#

河北｜邯郸公共,https://jwcdnqx.hebyun.com.cn/live/hdgg/1500k/tzwj_video.m3u8?zhebd
河北｜邯郸科教,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8?zhebd
河北｜荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
河北｜任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
河北｜兴隆综合,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8
河北｜清河新闻综合,https://jwcdnqx.hebyun.com.cn/live/qinghe/1500k/tzwj_video.m3u8
河北｜清河经济综艺,https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8
河北｜鹿泉一套,https://jwcdnqx.hebyun.com.cn/live/luquanyi/1500k/tzwj_video.m3u8?zhebd

河南频道,#genre#

河南｜临颍综合,http://tvpull.dxhmt.cn:9081/tv/11122-1.m3u8
河南｜义马新闻综合,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8
河南｜光山综合,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8
河南｜兰考新闻,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
河南｜内黄综合频道,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8?zhend
河南｜叶县,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8
河南｜唐河一套,http://tvpull.dxhmt.cn:9081/tv/11328-1.m3u8#http://tvpull.dxhmt.cn:9081/tv/11328-1.m3u8?zhend
河南｜固始综合,http://tvpull.dxhmt.cn:9081/tv/11525-1.m3u8
河南｜宜阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8?zhend
河南｜宝丰综合频道,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8?zhend
河南｜嵩县综合新闻,http://tvpull.dxhmt.cn:9081/tv/10325-1.m3u8?zhend
河南｜巩义新闻综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8?zhend
河南｜扶沟综合,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8#http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8?zhend
河南｜新乡县电视台,http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8?zhend#http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8
河南｜新县综合,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8
河南｜新安新闻综合,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8?zhend
河南｜新蔡综合,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8
河南｜新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8?zhend
河南｜方城一套,http://tvpull.dxhmt.cn:9081/tv/11322-1.m3u8?zhend
河南｜泌阳新闻综合,http://tvpull.dxhmt.cn:9081/tv/11726-1.m3u8
河南｜济源电视一套,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8?zhend
河南｜渑池新闻综合,http://tvpull.dxhmt.cn:9081/tv/11221-1.m3u8
河南｜温县综合,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8?zhend
河南｜滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8?zhend
河南｜潢川综合,http://tvpull.dxhmt.cn:9081/tv/11526-1.m3u8
河南｜灵宝新闻综合,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8?zhend
河南｜焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8#http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8?zhend
河南｜登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
河南｜禹州综合,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8?zhend
河南｜荥阳综合,http://tvpull.dxhmt.cn:9081/tv/10182-1.m3u8?zhend
河南｜西华综合,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8?zhend
河南｜邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8?zhend
河南｜郏县综合,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8?zhend
河南｜鄢陵综合,http://tvpull.dxhmt.cn:9081/tv/11024-1.m3u8
河南｜鹿邑新闻频道,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8?zhend

东北频道,#genre#
吉林｜通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8#http://stream5.jlntv.cn/thx/sd/live.m3u8?zjild
吉林｜龙井综合,http://stream8.jlntv.cn/ljtv/sd/live.m3u8?zjild
吉林｜德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8?zjild
吉林｜珲春新闻综合,http://stream8.jlntv.cn/hctv/sd/live.m3u8?zjild
吉林｜靖宇综合,http://stream8.jlntv.cn/jytv/sd/live.m3u8?zjild
吉林｜汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8?zjild
江苏｜如东新闻,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
宁夏｜吴忠公共,http://live.kanwz.net/ggpd/sd/live.m3u8?zningxd
宁夏｜吴忠综合,http://live.kanwz.net/zhpd/sd/live.m3u8?zningxd
青海｜综合,http://lmt.scqstv.com/live1/live1.m3u8
青海｜大通电视台,http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8
